name,position,team,box
Nathan MacKinnon,F,CAN,B1
Connor McDavid,F,CAN,B1
Sidney Crosby,F,CAN,B1
Macklin Celebrini,F,CAN,B1
Jack Eichel,F,USA,B1
Cale Makar,D,CAN,B2
Quinn Hughes,D,USA,B2
Brady Tkachuk,F,USA,B2
Zach Werenski,D,USA,B2
David Pastrnak,F,CZE,B2
Mikko Rantanen,F,FIN,B3
Mitch Marner,F,CAN,B3
Matthew Tkachuk,F,USA,B3
Auston Matthews,F,USA,B3
Matt Boldy,F,USA,B3
Jake Guentzel,F,USA,B4
Leon Draisaitl,F,GER,B4
Martin Necas,F,CZE,B4
William Nylander,F,SWE,B4
Tage Thompson,F,USA,B4
Tim Stutzle,F,GER,B5
Sam Reinhart,F,CAN,B5
Nick Suzuki,F,CAN,B5
Brad Marchand,F,CAN,B5
Jack Hughes,F,USA,B5
Tom Wilson,F,CAN,B6
Dylan Larkin,F,USA,B6
Mark Stone,F,CAN,B6
Miro Heiskanen,D,FIN,B6
Moritz Seider,D,GER,B6
Lucas Raymond,F,SWE,B7
Rasmus Dahlin,D,SWE,B7
Mika Zibanejad,F,SWE,B7
Adrian Kempe,F,SWE,B7
Filip Forsberg,F,SWE,B7
Roope Hintz,F,FIN,B8
Bo Horvat,F,CAN,B8
Brandon Hagel,F,CAN,B8
Roman Josi,D,SUI,B8
Erik Karlsson,D,SWE,B8
Clayton Keller,F,USA,B9
Sebastian Aho,F,FIN,B9
Jesper Bratt,F,SWE,B9
Brock Nelson,F,USA,B9
Joel Eriksson Ek,F,SWE,B9
Mikael Granlund,F,FIN,B10
Kyle Connor,F,USA,B10
Tomas Hertl,F,CZE,B10
Nico Hischier,F,SUI,B10
Victor Hedman,D,SWE,B10
Connor Hellebuyck,G,USA,G1
Juuse Saros,G,FIN,G1
Filip Gustavsson,G,SWE,G1
Jordan Binnington,G,CAN,G1
Karel Vejmelka,G,CZE,G1
Philipp Grubauer,G,GER,G2
Logan Thompson,G,CAN,G2
Jesper Wallstedt,G,SWE,G2
Jeremy Swayman,G,USA,G2
Akira Schmid,G,SUI,G2
Brock Faber,D,USA,BONUS
Josh Morrissey,D,CAN,BONUS
Shea Theodore,D,CAN,BONUS
Charlie McAvoy,D,USA,BONUS
Artturi Lehkonen,F,FIN,BONUS
Timo Meier,F,SUI,BONUS
Kevin Fiala,F,SUI,BONUS
Anton Lundell,F,FIN,BONUS
Elias Pettersson,F,SWE,BONUS
Roman Cervenka,F,CZE,BONUS
JJ Peterka,F,GER,BONUS
Sam Bennett,F,CAN,BONUS
Vincent Trocheck,F,USA,BONUS
Juraj Slafkovsky,F,SVK,BONUS
Teuvo Teravainen,F,FIN,BONUS
Nikolaj Ehlers,F,DEN,BONUS
Gabriel Landeskog,F,SWE,BONUS
Oliver Bjorkstrand,F,DEN,BONUS
Alexandre Texier,F,FRA,BONUS
Eetu Luostarinen,F,FIN,BONUS
Oliver Kapanen,F,FIN,BONUS
Nino Niederreiter,F,SUI,BONUS
Pius Suter,F,SUI,BONUS
Seth Jarvis,F,CAN,BONUS
Jake Sanderson,D,USA,BONUS
Filip Hronek,D,CZE,BONUS
Rasmus Andersson,D,SWE,BONUS
Noah Hanifin,D,USA,BONUS
Esa Lindell,D,FIN,BONUS
Thomas Harley,D,CAN,BONUS
Devon Toews,D,CAN,BONUS
Simon Nemec,D,SVK,BONUS
Niko Mikkola,D,FIN,BONUS
Uvis Balinskis,D,LAT,BONUS
Ondrej Palat,F,CZE,BONUS
